sample,well,date,strain_ID,lysate_mass,condition,strain,promoter,bioreps,BgaH_activity.x,BgaH_activity.y,BgaH_activity
1,A01,20220927,HV370,3,+glu,parent,+ctrl,1,2.935276409414341,3.7100531173807045,3.305694879832811
2,A02,20220927,HV370,3,+glu,parent,+ctrl,2,1.462394262825298,1.7751374583271144,1.6309909439219787
3,A03,20220927,HV370,3,+glu,parent,+ctrl,3,2.7058379360103513,3.106953152211774,3.3976221575359506
4,A04,20220927,HV373,5,+glu,parent,EV,1,0.13560867293625947,0.13816875653082542,0.1476724137931035
5,A05,20220927,HV373,5,+glu,parent,EV,2,0.2315099268547545,0.23657747424988795,0.3084926854754443
6,A06,20220927,HV373,5,+glu,parent,EV,3,0.20669652186893614,0.19186781609195433,0.34492610837438414
7,A07,20220927,HV392,5,+glu,parent,gapII,2,3.177637333930438,3.9008031049410374,3.3797544409613374
8,D09,20220927,HV392,5,-glu,parent,gapII,3,33.35179131213615,40.0944170771757,39.31730108971489
9,A09,20220927,HV392,5,+glu,parent,gapII,3,2.988382221227049,3.150409762651143,3.3940759814897765
10,A10,20220927,HV383,5,+glu,trmB,+ctrl,1,1.3383945364979848,1.4682075682937756,1.900833706523362
11,A11,20220927,HV383,5,+glu,trmB,+ctrl,2,3.9973701298701303,4.634057321988357,4.761558068368414
12,A12,20220927,HV383,5,+glu,trmB,+ctrl,3,6.570494476787582,13.45091170323929,10.951377071204659
13,B01,20220927,HV385,5,+glu,trmB,EV,1,0.23860016420361282,0.20258060904612626,0.239685773996119
14,B02,20220927,HV385,5,+glu,trmB,EV,2,0.28664017017465315,0.2845256754739513,0.35845014181221085
15,B03,20220927,HV385,3,+glu,trmB,EV,3,0.21582387918594798,0.6126231527093601,0.5514230979748219
16,B04,20220927,HV361,5,+glu,trmB,gapII,1,0.29724025974025986,0.30388864009553684,0.4428280340349307
17,B05,20220927,HV361,5,+glu,trmB,gapII,2,0.2838554261830124,0.2330724735035077,0.32972421256904005
18,B06,20220927,HV361,5,+glu,trmB,gapII,3,0.3090401552470517,0.31712457083146744,0.363746827884759
19,B07,20220927,HV387,3,+glu,tbsP,+ctrl,1,5.150531173807037,5.558728292780017,5.704076479076479
20,E07,20220927,HV387,5,-glu,tbsP,+ctrl,1,42.66283773697567,45.02357814599195,48.61081504702195
21,B09,20220927,HV387,5,+glu,tbsP,+ctrl,3,0.6710120913569191,0.6772238393790119,0.865288102701896
22,B10,20220927,HV389,5,+glu,tbsP,EV,1,0.03649052097327963,0.20439991043439318,0.3242140618002686
23,B11,20220927,HV389,5,+glu,tbsP,EV,2,0.12927227944469297,0.07420510523958807,0.3085718017614571
24,B12,20220927,HV389,5,+glu,tbsP,EV,3,0.05180437378713259,0.2617323481116585,0.21276459173010887
25,C01,20220927,HV365,3,+glu,tbsP,gapII,1,50.3514529531771,58.258196496989605,52.27778399761159
26,C02,20220927,HV365,3,+glu,tbsP,gapII,2,51.236460043787645,56.60789110314973,57.84369060058717
27,C03,20220927,HV365,3,+glu,tbsP,gapII,3,44.21741304672341,49.70242822311788,48.91033674180227
28,C04,20220927,HV405,5,+glu,trmBtbsP,+ctrl,1,3.5825959098372904,3.7296458426630847,4.003018734139424
29,C05,20220927,HV405,5,+glu,trmBtbsP,+ctrl,2,3.494256605463503,3.3843114643976717,3.529617853410958
30,C06,20220927,HV405,5,+glu,trmBtbsP,+ctrl,3,1.6709303627407082,1.5963845350052261,1.962799671592776
31,C07,20220927,HV390,5,+glu,trmBtbsP,EV,1,0.18625018659501408,0.1975335871025528,0.3219021495745636
32,C08,20220927,HV390,1.5,+glu,trmBtbsP,EV,2,0.5083830920037827,0.7824924118027584,0.40460765288351697
33,C09,20220927,HV390,5,+glu,trmBtbsP,EV,3,0.2381560680698612,0.19919950738916267,0.2556034482758623
34,C10,20220927,HV367,1.5,+glu,trmBtbsP,gapII,1,44.21429069015277,54.47057894213068,48.433876946808
35,C11,20220927,HV367,1,+glu,trmBtbsP,gapII,2,43.29136624869384,52.8074432751157,49.540425809822374
36,C12,20220927,HV367,1.5,+glu,trmBtbsP,gapII,3,26.43646066577102,28.954426033736386,28.579547942478985
37,D01,20220927,HV370,5,-glu,parent,+ctrl,1,0.9387218241528588,1.2019193163158683,0.8709240185102256
38,D02,20220927,HV370,5,-glu,parent,+ctrl,2,2.355673608001195,2.792903791610689,2.5619771607702644
39,D03,20220927,HV370,1.5,-glu,parent,+ctrl,3,3.821531820669753,4.36983007414042,4.792762601383292
40,D04,20220927,HV373,5,-glu,parent,EV,1,0.1633411703239288,0.1650048514703686,0.13804933572174963
41,D05,20220927,HV373,5,-glu,parent,EV,2,0.23046275563516935,0.2493137035378414,0.32668756530825493
42,D06,20220927,HV373,3,-glu,parent,EV,3,0.03326802507836947,0.36787766830870267,0.3557253570184607
43,D07,20220927,HV392,3,-glu,parent,gapII,1,16.73478006667662,20.735635915808334,20.310451808727674
44,D08,20220927,HV392,1,-glu,parent,gapII,2,35.186318853560245,39.483004926108386,37.6790826989103
45,A08,20220927,HV392,1,+glu,parent,gapII,1,6.117980295566504,6.780937826541276,8.785727347365281
46,D10,20220927,HV383,1,-glu,trmB,+ctrl,1,31.610971786833858,36.190379161068826,37.24841394237947
47,D11,20220927,HV383,2,-glu,trmB,+ctrl,2,19.492807695178392,20.54008340797135,21.86614046872668
48,D12,20220927,HV383,5,-glu,trmB,+ctrl,3,5.355708687863861,5.7079071503209455,5.8896913718465465
49,E01,20220927,HV385,1.5,-glu,trmB,EV,1,0.2979337712096324,0.47082649151614725,0.5676693038761996
51,E03,20220927,HV385,5,-glu,trmB,EV,3,0.17753806538289302,0.17060904612628758,0.3761878638602777
52,E04,20220927,HV361,1.5,-glu,trmB,gapII,1,0.6091083246255659,0.7499452654625075,1.4648753545305284
53,E05,20220927,HV361,5,-glu,trmB,gapII,2,0.22811912225705314,0.22955067920585154,0.24906702492909388
54,E06,20220927,HV361,5,-glu,trmB,gapII,3,0.31240707568293774,0.2631788326615916,0.39827287654873844
55,B08,20220927,HV387,1,+glu,tbsP,+ctrl,2,3.9299544708165404,4.169435363487088,5.489609270040307
56,E08,20220927,HV387,1,-glu,tbsP,+ctrl,2,32.246083370652336,42.140095536647266,41.424966412897454
57,E09,20220927,HV387,5,-glu,tbsP,+ctrl,3,2.164845499328258,2.352382818331095,2.560128004179728
58,E10,20220927,HV389,1.5,-glu,tbsP,EV,1,0.28174727571279246,0.419714385231627,-0.0010909588495784553
59,E11,20220927,HV389,1,-glu,tbsP,EV,2,0.8003638602776545,0.9276795044036442,1.0776720406030746
61,F01,20220927,HV365,5,-glu,tbsP,gapII,1,23.095360874757432,25.6675578444544,26.18658493805046
62,F02,20220927,HV365,5,-glu,tbsP,gapII,2,30.26958650544858,33.98281310643381,35.29869458128079
63,F03,20220927,HV365,1.5,-glu,tbsP,gapII,3,41.9160533910534,66.4733007414042,49.08109916903022
64,F04,20220927,HV405,5,-glu,trmBtbsP,+ctrl,1,11.946783475145544,12.64543775190327,13.695607553366179
65,F05,20220927,HV405,5,-glu,trmBtbsP,+ctrl,2,2.42375578444544,2.430204881325571,2.9322204806687573
66,F06,20220927,HV405,5,-glu,trmBtbsP,+ctrl,3,3.257811986863711,3.4956041946559195,3.6374582027168243
67,F07,20220927,HV390,5,-glu,trmBtbsP,EV,1,0.1472380206000896,0.1654914912673532,0.21116584564860433
68,F08,20220927,HV390,5,-glu,trmBtbsP,EV,2,0.12596618898343007,0.11605239587998208,0.21715666517390658
69,F09,20220927,HV390,5,-glu,trmBtbsP,EV,3,0.1129146141215107,0.17552843708016125,0.1946805493357217
71,F11,20220927,HV367,5,-glu,trmBtbsP,gapII,2,24.53177675772504,26.871957008508744,28.71215554560383
72,F12,20220927,HV367,3,-glu,trmBtbsP,gapII,3,6.722493406976167,12.34816514902722,11.76535179380007
